Timestamp	Chalice Used	Additional Rites	Chalice Glyph	Layer 1 (Weapons)	Layer 2 (Weapons)	Layer 3 (Weapons)	Layer 4 (Weapons)	Layer 1 (Materials)	Layer 2 (Materials)	Layer 3 (Materials)	Layer 4 (Materials)	Additional Notes	Non-working Glyph	Working Glyph
4/2/2015 12:00:41	Ailing Loran Root	None	x98va7xn	None / Unsure	None / Unsure	None / Unsure	None / Unsure		Blooming Coldblood Flower, Sage's Hair			Layer 1 boss is Keeper of the Old Lords. Layer 2 materials are all in the bonus area chest room.		
4/2/2015 14:37:27	Pthumeru Root	None	v6kuqc2c	None / Unsure	None / Unsure	None / Unsure	None / Unsure							
4/2/2015 15:44:33	Cursed and Defiled Root	None	gh2z72rh	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Arcane Haze	Arcane Haze	Arcane Haze	Arcane Haze	Im looking for other players with high lv 230+ for do this chalice dungeon coop get the chalice for the Queen dungeon and kill her!! Join me!		
4/2/2015 17:10:22	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering	nmjapuuu	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Ring of Betrothal in side-area before the layer 3 lamp. VERY RARE. ADDITIONAL NOTE: Top Tier Communion rune in Layer 1 Bonus room.		
4/2/2015 19:11:14	Lower Pthumeru Root	Fetid Offering, Rotted Offering	cnjji6e4	None / Unsure	Lost Saw Cleaver	None / Unsure	None / Unsure					On layer three optional area, there is a Great One Coldblood, this cold blood gives 40,000 echos. Twice as much as the best Kin cold blood.		
4/2/2015 19:44:13	Central Pethumeru Root	Fetid Offering	rtddmazf	Uncanny Saw Cleaver	Uncanny Threaded Cane	None / Unsure	None / Unsure							
4/2/2015 20:30:18	Sinister Isz Root	Sinister Bell	357dsscz	None / Unsure	Lost Kirkhammer	Lost Threaded Cane	None / Unsure					There is two notes in my dungeon about a broken trap that will kill you, and make your souls irretrievable. They are both in the room directly before the Lost Threaded Cane on Layer 3, hug the left wall on the way in, right wall on the way out. 		
4/2/2015 21:23:50	Ailing Loran Root	Fetid Offering, Rotted Offering	rw4rsf25	Lost Hunter Axe	Lost Hunter Axe	Uncanny Beast Claw	None / Unsure							
4/2/2015 21:54:48	Hintertomb Root	Fetid Offering	z79dz9gd	None / Unsure	None / Unsure	Uncanny Hunter Axe	None / Unsure					Weapon in l3 predungeon		
4/3/2015 0:36:29	Lower Hintertomb Root	Fetid Offering	gaxrwchu	Uncanny Stake Driver	None / Unsure	None / Unsure	None / Unsure							
4/3/2015 0:39:24	Cursed and Defiled Root	Fetid Offering, Rotted Offering	brkepzqq	Uncanny Ludwig's Holy Blade	None / Unsure	Uncanny Reiterpallasch	None / Unsure					Uncanny Reiterpallasch -- Bottom of Spiral Staircase in a treasure room door  Last Level Treasure Room - Lake 5% Physical Dmg Resistance Rune		
4/3/2015 1:41:36	Central Pethumeru Root	Fetid Offering	xkpxwan2	Uncanny Saw Spear	None / Unsure	Uncanny Threaded Cane	None / Unsure							
4/3/2015 2:48:56	Central Pethumeru Root	Fetid Offering	ggnycrbr	Uncanny Saw Spear	Uncanny Threaded Cane	None / Unsure	None / Unsure							
4/3/2015 4:16:06	Sinister Hintertomb Root	None	3wsy55du	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Great One Coldblood in the subarea right after the first main area! Probably fastest/easiest one to get so far!		
4/3/2015 4:57:24	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	wikifcsa	None / Unsure	None / Unsure	None / Unsure	None / Unsure					floor 1 - (side room before boss)Formless Oedon top tier QS bullet max +5 floor 2 - (coffer before main room)+26% blood dmg gem floor 3 - (1st side room coffer)Heir top tier More echoes from Visceral             (2nd side room)Clockwise Metamorphasis top tier +15% hp             (boss loot)+22%phys dmg gem floor 4 - +23% phys dmg gem and snatcher that drops down poisoned           repeatedly and drops twin bloodstones (1-2)		
4/3/2015 5:03:56	Isz Root	Fetid Offering, Rotted Offering	672kmhsc	Lost Threaded Cane	None / Unsure	None / Unsure	Lost Kirkhammer	Pearl Slug, Red Jelly, Yellow Backbone, Sage's Wrist, Sage's Hair	Pearl Slug, Red Jelly, Yellow Backbone, Sage's Wrist, Sage's Hair, Blood Rock	Pearl Slug, Red Jelly, Yellow Backbone, Sage's Wrist, Sage's Hair	Pearl Slug, Red Jelly, Yellow Backbone, Sage's Wrist, Sage's Hair	I can't remember the exact places of the weapons/blood rock since I've been running this dungeon off and on but I know for a fact that they are inside the dungeon, I'm just taking an educated guess at the locations. And the 4th layer doorway is a Hole/Doorway on the right hand side, it's not a door you open just an open hallway.		
4/3/2015 6:06:39	Central Pethumeru Root	Fetid Offering	4yg9ky6b	Uncanny Threaded Cane	None / Unsure	Uncanny Saw Spear	None / Unsure				Arcane Haze			
4/3/2015 9:15:44	Pthumeru Root	None	dcwwhbts	None / Unsure	Uncanny Saw Cleaver	None / Unsure	None / Unsure					the uncanny saw cleaver is in the bonus section before the first 2nd floor lamp.  		
4/3/2015 11:11:18	Ailing Loran Root	Rotted Offering	pzidw2a7	Uncanny Tonitrus	Uncanny Beast Claw	None / Unsure	None / Unsure					Layer 3 have no useful materials and items and have Abhorrent Beast boss in end. Don't waste your time on layer 3.		
4/3/2015 12:19:18	Lower Pthumeru Root	None	cq8txwvz	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Arcane Haze, Coldblood Flowerbud, Coldblood Flower Bulb, Sage's Wrist						
4/3/2015 18:46:14	Lower Pthumeru Root	None	2fvj36xy	Uncanny Riflespear	None / Unsure	Lost Saw Cleaver	None / Unsure	Bloodshot Eyeball, Pearl Slug, Inflicted Organ, Sage's Wrist	Bloodshot Eyeball, Inflicted Organ, Sage's Wrist	Inflicted Organ		Uncanny Rifle Spear is in the first loot room, very easy to find. Lost Saw Cleaver is in a rather large optional room before the final boss(Bloodletting Beast)   Lots of Bag men for Ritual Blood (4)		
4/4/2015 0:01:29	Lower Pthumeru Root	Fetid Offering	5hbkfgpn	Uncanny Kirkhammer	None / Unsure	None / Unsure	None / Unsure					Hammer is in the side room after the locked door in layer 1		
4/4/2015 0:03:05	Lower Ailing Loran Root	Fetid Offering, Curse	6krqjavr	Lost Beast Claw	None / Unsure	None / Unsure	None / Unsure	Blood Rock				Blood rock on the Pre-Main section of layer 1, then Lost Beast claw on the Post-Main section. Bosses are 1) Keeper of the Old Lords. 2) Beast-Possessed Soul. 3) Amygdala.		
4/4/2015 1:27:26	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering	5wu2zv5n	Lost Chikage	None / Unsure	Lost Burial Blade	None / Unsure	Yellow Backbone	Sage's Hair	Yellow Backbone		The second layer has the 15% Health rune.  There are only three layers.  Some very tricky spots, just run past mobs if you're getting stuck.  GL!		
4/4/2015 2:19:00	Pthumeru Root	None	cjra37wc	Uncanny Saw Cleaver	None / Unsure	None / Unsure	None / Unsure					Incredibly easy Uncanny Saw Cleaver pickup. Don't bother with the rest as every other layer is filled with death dealer and no good items. 		
4/4/2015 5:46:57	Isz Root	Fetid Offering, Rotted Offering, Curse	p3umyztu	None / Unsure	Lost Kirkhammer	None / Unsure	None / Unsure			Blood Rock		Eye Gem - Increases chances to get rare item is in the 1st layer		
4/4/2015 5:48:02	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	d5v7f64i	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Communion gem - +5vials - 1st Layer Heir Gem - 2nd Layer ? I am not sure if this is 1st or 2nd layer Ring of Betrothal - 3rd layer		
4/4/2015 8:04:49	Isz Root	None	ge5wsydz	None / Unsure	None / Unsure	None / Unsure	None / Unsure					good rune first layer		
4/4/2015 10:20:13	Sinister Pthumeru Ihyll Root	Sinister Bell	4y673b6j	None / Unsure	Lost Logarius' Wheel	None / Unsure	None / Unsure	Red Jelly, Yellow Backbone, Sage's Hair	Red Jelly, Sage's Wrist, Sage's Hair	Sage's Wrist, Sage's Hair		There were three runes in this dungeon for me: Formless Oedon, layer 1. Heir, layer 2. Communion, layer 3. 		
4/4/2015 11:37:52	Lower Pthumeru Root	None	645uxsmh	None / Unsure	None / Unsure	None / Unsure	None / Unsure							
4/4/2015 11:47:23	Pthumeru Root	None	pg6anthb	None / Unsure	Uncanny Saw Cleaver	None / Unsure	None / Unsure							
4/4/2015 14:33:19	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	74cwze3h	None / Unsure	None / Unsure	Lost Chikage	None / Unsure							
4/4/2015 15:39:03	Ailing Loran Root	None	5s5dj7iw	None / Unsure	None / Unsure	Lost Riflespear, Uncanny Beast Claw	None / Unsure					I am not the original creator of this dungeon. I found it searching through the public dungeons.		
4/4/2015 16:51:15	Lower Hintertomb Root	None	dt9qe63m	Uncanny Stake Driver	None / Unsure	None / Unsure	None / Unsure					Uncanny Stake Driver is in the optional area aside the boos room.		
4/4/2015 16:57:59	Pthumeru Ihyll Root	None	sz73v83s	None / Unsure	Lost Blade of Mercy	Lost Burial Blade	Lost Chikage							
4/4/2015 17:02:40	Pthumeru Ihyll Root	None	jqcqey6p	Lost Blade of Mercy	Lost Chikage	Lost Reiterpallasch	None / Unsure					There is a room with Double undead Giants in one of the side rooms. There is no reason to fight them.  First boss is Maneating Boar, Second is Triple Watcher, Third is bloodletting beast.		
4/4/2015 18:12:27	Pthumeru Root	None	wbg4m9gm	None / Unsure	None / Unsure	None / Unsure	None / Unsure							
4/4/2015 19:30:24	Ailing Loran Root	None	nf5p55kt	Uncanny Beast Claw	None / Unsure	None / Unsure	None / Unsure					The beast claws are on the first side area of the dungeon in a sarcophagus, fairly easy to find.		
4/4/2015 19:43:59	Sinister Isz Root	Sinister Bell	byfne74r	Lost Kirkhammer	None / Unsure	None / Unsure	None / Unsure					Layer 2 and 3 contains runes; 10% arcane dmg reduction and 150 all res. Bosses are Brainsucker, Undead Giant (club) and Ebrietas, so the dungeon is fairly easy in its entirety.  		
4/4/2015 23:13:57	Isz Root	None	rxp5dirg	None / Unsure	None / Unsure	Lost Ludwig's Holy Blade	None / Unsure				Blood Rock	Can't quite remember which floor has what, due to running the dungeon over a couple of days, but it does contain the EYE perfect rune (+100 discovery) and a blood rock on the final layer in an unmarked treasure room. Bosses are Watchers, Brainsucker, Elder Pthumerian, and Amygdala.		
4/5/2015 12:13:27	Central Pethumeru Root	None	2ngjkg5g	Uncanny Threaded Cane	None / Unsure	None / Unsure	None / Unsure					Boss 1: Maneater Boar Boss 2: Undead Giant (Club) Boss 3: Pthumerian Descendant		
4/5/2015 13:12:32	Lower Pthumeru Root	None	j7hv5jc6	Lost Saw Cleaver	Uncanny Riflespear	None / Unsure	None / Unsure	Inflicted Organ	Sage's Wrist	Inflicted Organ, Sage's Wrist		Great ones cold blood in layer 3		
4/5/2015 15:45:20	Sinister Lower Loran Root	Sinister Bell	qm5c4v4p	Uncanny Burial Blade	None / Unsure	Uncanny Blade of Mercy, Lost Beast Claw	None / Unsure					on layer 2 treasure chest there is dissipating lake rune (+10% bolt dmg reduction)		
4/5/2015 15:56:14	Isz Root	Fetid Offering, Rotted Offering	v3zfdd7a	Lost Ludwig's Holy Blade	None / Unsure	Lost Kirkhammer	None / Unsure		Pearl Slug	Yellow Backbone		Ludwig's Blade is after switched door on Layer 1, Deep Sea Rune (+300 Frenzy Resist) on Layer 2 take ladder directly after layer 2 lamp, Kirkhammer is after switched door on Layer 3. Boss1 - Undead Giant; Boss2 - 3x Merciless Executioner; Boss3 - Ebriates		
4/5/2015 16:42:52	Pthumeru Root	None	wq8kgsbp	Uncanny Saw Cleaver	None / Unsure	None / Unsure	None / Unsure		Arcane Haze	Arcane Haze		Uncanny Saw Cleaver can be found in the extra part before the first lantern 		
4/5/2015 17:47:30	Central Pethumeru Root	Fetid Offering	54rhyqgd	Uncanny Threaded Cane	None / Unsure	Uncanny Saw Spear	None / Unsure					Layer 2 has a Depth9 Tempering Blood Gemstone - Phys ATK UP+13.5%		
4/5/2015 19:09:24	Isz Root	Fetid Offering, Rotted Offering	kjjdqgf9	None / Unsure	None / Unsure	None / Unsure	None / Unsure					100 Discovery Eye Rune and 10% Arcane Damage Reduction Arcane Lake runes are within this dungeon. I cannot remember what layers or areas they were in, unfortunately.		
4/5/2015 21:06:44	Ailing Loran Root	Fetid Offering	avpn9kx5	None / Unsure	Lost Riflespear	None / Unsure	None / Unsure			Arcane Haze, Coldblood Flower Bulb, Blooming Coldblood Flower, Sage's Hair		There's a giant bell you can ring in the bonus area at the start of layer 2.  I don't know if it does anything, but it's there. There are a bunch of materials in this but I forgot which ones, I started recording a few of them around layer 3. I know 4 Bastard of Lorans are around layer 1 or 2.		
4/5/2015 21:41:14	Lower Pthumeru Root	Fetid Offering, Rotted Offering	9x4tsmq5	None / Unsure	Uncanny Kirkhammer	Lost Saw Spear	None / Unsure							
4/5/2015 22:38:03	Pthumeru Ihyll Root	None	5y2p2vzx	None / Unsure	None / Unsure	None / Unsure	None / Unsure		Sage's Hair			25.2% Bloodtinge gem on Layer 2		
4/5/2015 23:20:17	Central Pethumeru Root	None	7hqg2h9a	Uncanny Saw Spear	None / Unsure	None / Unsure	None / Unsure					layer 2 has a Tempered Blood Gemstone(3) with +13.5% Physical. layer 3 has Ritual Blood(3) in the chest rooms and in the main section of the dungeon. Both are in coffin chests.		
4/5/2015 23:44:55	Lower Pthumeru Root	Fetid Offering, Rotted Offering	868i2ga3	None / Unsure	None / Unsure	None / Unsure	None / Unsure		Inflicted Organ, Sage's Wrist	Sage's Wrist		Great One Coldblood on Layer 1 before the main dungeon. LOTS of Sage's Wrist in this dungeon if you need them. Formless Oedon (+2 QS Bullets) on Layer 3.  There are also Bath Messengers in a bonus room on Layer 3 (before main dungeon) if you need to resupply.  Recommend just grabbing the Great One Coldblood from the first floor and leaving, though.		
4/6/2015 2:13:38	Isz Root	Rotted Offering	u97try9e	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Bloodshot Eyeball, Pearl Slug	Pearl Slug	Coldblood Flowerbud	Sage's Hair	On the side-dungeon after layer two's boss, the main chest has a Great Deep Sea rune (all RES+150)		
4/6/2015 6:15:04	Isz Root	None	xtbdb2qg	None / Unsure	None / Unsure	Lost Threaded Cane	None / Unsure	Blood Rock				Great Lake rune (5%) on layer 2. Great One Coldblood on layer 4.		
4/6/2015 10:11:44	Pthumeru Ihyll Root	None	53dv69mi	None / Unsure	None / Unsure	None / Unsure	None / Unsure			Blood Rock		Bosses: Layer 1 - Maneater Pig Layer 2 - Beast-possessed Soul Layer 3 - Bloodletting Beast  Sub Areas on Layer 1 have 2 great runes: Oedon Writhe - V. ATKs grant +3 QS bullets. Clockwise Metamorphosis - +15% max HP		
4/6/2015 10:44:49	Pthumeru Root	None	upppxrnk	None / Unsure	Uncanny Saw Cleaver	None / Unsure	None / Unsure					One invisible door but leads to room with no treasure :/  Layer 2 weapon is found by exploring first door on left after descending from Layer 1.		
4/6/2015 11:17:02	Ailing Loran Root	None	9d6vhapi	Uncanny Tonitrus	None / Unsure	Lost Hunter Axe	None / Unsure					Fading Lake Rune (+10% Fire DMG Resist) in chest on Layer 1.		
4/6/2015 14:05:12	Central Pethumeru Root	Fetid Offering	57iidjkn	None / Unsure	Uncanny Saw Cleaver, Uncanny Threaded Cane	None / Unsure	None / Unsure	Sage's Wrist						
4/6/2015 14:55:26	Lower Hintertomb Root	Rotted Offering	xhkc9uew	Uncanny Stake Driver	None / Unsure	None / Unsure	None / Unsure					The weapon is found on the side path after unlocking the gate to the boss. Go through the side path door and run straight to the only room it's a large room but the only threats are the poison pools and the witch who summons scare crows. On the far side of the room where the witch is there should be a ladder. climb it and follow the path to the room with a chest. it's guarded by an quick enemy with 2 flaming sickles. The weapon should be in the chest. Enjoy.		
4/6/2015 17:10:37	Central Pethumeru Root	None	gt63us3u	None / Unsure	None / Unsure	None / Unsure	None / Unsure		Sage's Wrist	Sage's Wrist		Second boss unlocks Bone Ash set, boasting high fire and bolt defense. Set can be purchased from insight vendor after kill.		
4/6/2015 17:37:49	Cursed and Defiled Root	Fetid Offering, Rotted Offering	aii8vj6a	Uncanny Logarius' Wheel	Uncanny Reiterpallasch, Uncanny Chikage	None / Unsure	None / Unsure					I forgot exactly what chalice materials are in the dungeon, but there are ritual blood 5 among others like bloodshot eyeball.  first level side room after pulling the lever: Lake Rune +5% physical damage  First boss: Beast Possessed Soul Second boss: 3 Fatties Third Boss: Bloodletting Beast  This dungeon has lots of hemwick witches that summon the scythe dudes and there seems to be at least one in every side dungeon and main (lever) dungeon. The second pre lever dungeon (the first door after the first boss) with the uncanny reiterpallasch has one of those very large open rooms with the square platform in the middle, usually these rooms have the weird plant like enemies that shoot fireballs from far away and drop arcane haze. None of them in this room, but on the main platform is the hardest collection of enemies they could have put there. There's a chime maiden who summons spiders and weak goons, there's about 9 regular goons, a fatty with the gun, a brain sucker, a witch who casts fireballs, and i think an undead swordsman. Be very careful not to rush into that platform and try to take out the chime maiden asap. Happy hunting!		
4/7/2015 1:14:29	Ailing Loran Root	Fetid Offering, Rotted Offering	4292egu2	None / Unsure	None / Unsure	Uncanny Blade of Mercy	None / Unsure	Blood Rock		Blooming Coldblood Flower		Clawmark rune (Visceral +30%) in layer 2		
4/7/2015 4:35:55	Lower Pthumeru Root	None	45z79m4j	Uncanny Kirkhammer	None / Unsure	Lost Saw Cleaver	None / Unsure							
4/7/2015 6:38:21	Lower Ailing Loran Root	Curse	pzit7wds	Lost Beast Claw	Lost Tonitrus	None / Unsure	None / Unsure	Red Jelly, Bastard of Loran						
4/7/2015 14:25:25	Pthumeru Ihyll Root	None	kkzyw7ft	None / Unsure	Lost Burial Blade	Lost Reiterpallasch	None / Unsure			Red Jelly		Nothing of note from Level 1. Layer 2 Sub Area before boss contains the Lost Burial Blade. Layer 3 Sub Area before main dungeon contains Lost Reiterpallasch. Layer 3 Sub Area before boss contains the Communion Rune +5 to Blood Vials. Also left with some Sage's Hair, plenty of Tomb Mold and some Red Jelly.		
4/7/2015 18:57:39	Ailing Loran Root	None	bv5ddqt9	Lost Hunter Axe	Uncanny Tonitrus	Lost Beast Claw	Lost Riflespear				Blooming Coldblood Flower			
4/7/2015 21:15:29	Sinister Isz Root	None	gc2nhw6u	Lost Ludwig's Holy Blade	None / Unsure	None / Unsure	None / Unsure					Eye rune (level 3) in the first layer as well.  Ludwig's blade is in the first room door as soon as you start the dungeon.  The Eye rune is once you get into the actual first layer.   First bosses are the Watchmen.  Not too bad.  Haven't explored any other areas yet.  		
4/8/2015 0:43:24	Lower Pthumeru Root	Rotted Offering	6b7m8sym	Lost Saw Cleaver	Uncanny Riflespear	None / Unsure	None / Unsure	Sage's Wrist				Bloodletting Beast is the boss in layer three so be careful, not fully explored so there may be some additional surprises, hence why almost nothing was checked off.    		
4/8/2015 5:25:38	Sinister Lower Loran Root	Sinister Bell	v394hee6	Uncanny Burial Blade	None / Unsure	None / Unsure	None / Unsure		Bastard of Loran	Blooming Coldblood Flower, Sage's Hair, Bastard of Loran		Layer 1: Ritual Blood (5) x2, Uncanny Burial Blade, Boss: Blood-starved Beast  Layer 2: Ritual Blood (5) x8, Bastard of Loran x1, Fading Lake (3), Boss: Undead Giant  Layer 3: Sage's Hair x3, Blooming Coldblood Flower x22, Bastard of Loran x1, Anti-Clockwise Metamorphosis (3), Boss: Amygdala		
4/8/2015 6:45:50	Sinister Isz Root	Sinister Bell	4utqieu7	None / Unsure	Lost Ludwig's Holy Blade	None / Unsure	None / Unsure		Blood Rock	Pearl Slug, Yellow Backbone, Sage's Hair	Pearl Slug, Yellow Backbone, Bastard of Loran	Layer 1: Loot: Arcane Lake Rune (3)  Boss: Maneater Boar  Layer 2: Materials: Ritual Blood (5) x5, Yellow Backbone x1, Pearl Slug x2, Sage's Hair x2 Loot: Ludwig's Lost Holy Blade, Blood Rock Boss: Keeper of the Old Lords  Layer 3:  Materials: Ritual Blood (5) x2, Tomb Mold (5) x14, Pearl Slug x10, Yellow Backbone x3, Bastard of Loran x1 Loot: Kin Coldblood (12) x2, Eye Rune (3), Great Deep Sea Rune (3) Boss: Amygdala		
4/8/2015 9:36:17	Sinister Pthumeru Ihyll Root	Sinister Bell	yif7detn	None / Unsure	Lost Saw Spear	None / Unsure	None / Unsure	Inflicted Organ, Sage's Wrist	Sage's Wrist			Chest on layer 3 blocks pathway at one point, just charge attack it to break it and kill that annoying bellmaiden.		
4/8/2015 14:47:24	Central Pethumeru Root	Fetid Offering	y5xqxmy3	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Post-area of layer 3 contains a coffin chest with a droplet shaped Tempering Blood Gemstone(3) - physical attack up +13.5% fits any gem slot.		
4/8/2015 22:57:08	Isz Root	Fetid Offering, Rotted Offering	cxdqve9s	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Blood Rock	Pearl Slug, Sage's Hair	Pearl Slug		Blood rock is in the first door after chamber of the seal. There's a ruin for 300 frenzy resist in layer 2, and another ruin for 150 resistance in all categories.		
4/9/2015 2:04:56	Pthumeru Root	None	8963az5k	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Coldblood Flowerbud, Bloodshot Eyeball						
4/9/2015 13:58:38	Ailing Loran Root	None	g3wwmhyh	None / Unsure	Beast Claw	None / Unsure	None / Unsure	Coldblood Flowerbud, Sage's Wrist, Sage's Hair, Blood Stone Chunk				beast claws in treasure before layer two lamp		
4/9/2015 22:48:27	Pthumeru Ihyll Root	Rotted Offering	22aa4wfv	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Blood Rock				Layer 2: Heir 3, side room after the locked door. Layer 3: 15% HP rune, side room before main labyrinth 		
4/10/2015 2:05:41	Sinister Pthumeru Ihyll Root	Sinister Bell	9ydgqzy2	None / Unsure	None / Unsure	None / Unsure	None / Unsure		Blood Rock			Lake rune (7%) on floor 3.		
4/10/2015 14:00:47	Pthumeru Ihyll Root	None	qcwkk72n	None / Unsure	None / Unsure	None / Unsure	None / Unsure					It's not a root.. I'm sharing this cuz I need help in boss 2		
4/10/2015 15:28:29	Cursed and Defiled Root	None	aqqcv6vi	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Sage's Hair						
4/10/2015 17:23:42	Lower Ailing Loran Root	Rotted Offering	2ufsqve2	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Beast Rune +100 Trans is in the first layer in the side room after pulling the lever		
4/10/2015 17:26:27	Central Pethumeru Root	Fetid Offering	fednzws6	Uncanny Saw Spear	None / Unsure	None / Unsure	None / Unsure		Arcane Haze			Fairly easy, nice items. Treasure door before second boss contains Tempering blood gemstone (3) droplet type.		
4/10/2015 17:41:22	Isz Root	Fetid Offering, Rotted Offering, Curse	ukw8bk83	Lost Threaded Cane	None / Unsure	None / Unsure	None / Unsure	Blood Rock		Bastard of Loran		Layer 2 contains Great Deep Sea rune and Arcane Lake rune.		
4/10/2015 19:36:33	Lower Pthumeru Root	Fetid Offering	xamn5v5q	Lost Saw Cleaver	None / Unsure	None / Unsure	None / Unsure	Sage's Wrist				Grat for farming ritual blood, 2 sackguys at the entrances of layer one, another two at the door before the lamp of second floor. Great one coldblood and big amount of items for rituals, among them like 12 tomb(3) mold in a secret room just in frobt of the lamp of the 3rd floor. There was a bunch of things I now dont remember. Easy bosses (watchers, pig and keeper of the old lords. 4th boss is the big dog) also there is a formless oedon Please check it out, you wont regret it		
4/11/2015 2:08:05	Isz Root	Rotted Offering	fmu9qx9g	None / Unsure, Lost Beast Claw	None / Unsure	None / Unsure	None / Unsure	Arcane Haze	Arcane Haze	Arcane Haze	Arcane Haze			
4/11/2015 2:41:29	Lower Pthumeru Root	None	h434qsh7	Lost Saw Cleaver	None / Unsure	Uncanny Kirkhammer	None / Unsure							
4/11/2015 19:34:21	Cursed and Defiled Root	None	kxc8e3p5	None / Unsure	None / Unsure	None / Unsure	None / Unsure							
