Timestamp	Chalice Used	Additional Rites	Chalice Glyph	Layer 1 (Weapons)	Layer 2 (Weapons)	Layer 3 (Weapons)	Layer 4 (Weapons)	Layer 1 (Materials)	Layer 2 (Materials)	Layer 3 (Materials)	Layer 4 (Materials)	Additional Notes	Non-working Glyph	Working Glyph
4/12/2015 1:31:42	Central Pethumeru Root	Fetid Offering	brutm4uf	Uncanny Threaded Cane	None / Unsure	None / Unsure	None / Unsure					Low level root with uncanny threaded cane in the first bonus area before layer 1 main area.  Good to get your feet wet.		
4/12/2015 6:02:55	Isz Root	Fetid Offering, Rotted Offering, Curse	gwsb3sxv	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Deep Sea Rune (+300 Frenzy Resist) in Layer 1. Great Deep Sea Rune (+150 All Resist) in Layer 3.  Also found Great One's Wisdom in Layer 3 which may or may not be a Blood Rock.		
4/12/2015 13:19:14	Cursed and Defiled Root	Fetid Offering, Rotted Offering, Curse	8ushe6kx	None / Unsure	Uncanny Logarius' Wheel	None / Unsure	None / Unsure					Blood Rapture Rune +250 in layer one. LOTS of hunters in this dungeon, and very unfriendly enemy layout in layer 3 with nothing really there. Amygdala is layer 3 boss, so fight only if you feel the need. No good loot in layer 3. 		
4/12/2015 18:07:41	Cursed and Defiled Root	Fetid Offering, Rotted Offering, Curse	vxtm2uu4	Uncanny Ludwig's Holy Blade	Uncanny Reiterpallasch	Uncanny Chikage	None / Unsure					Might've mixed up the order of the layers you get Ludwig's and the Reiterpallasch in, but they're in the first two layers for certain, with the Chikage in the last layer.		
4/13/2015 0:18:06	Isz Root	Rotted Offering	u97try9e	None / Unsure	Lost Ludwig's Holy Blade	None / Unsure	None / Unsure	Bloodshot Eyeball, Pearl Slug	Pearl Slug	Coldblood Flowerbud, Pearl Slug, Sage's Wrist, Bastard of Loran	Sage's Hair	Correct the previous entry for this one.  Lost Ludwigs on Layer two main area.  On the side-dungeon after layer two's boss, the main chest has a Great Deep Sea rune (all RES+150).  Third level alone has 15 pearl slugs and 4 Bastard of Loran.		
4/13/2015 0:59:20	Isz Root	Fetid Offering, Rotted Offering, Curse	eityvwrj	None / Unsure	None / Unsure	None / Unsure	None / Unsure		Blood Rock	Pearl Slug		3 Layers, very easy bosses: Boss 1: Keeper of the Old Lords Boss 2: Undead Giant Boss 3: Amygdala		
4/13/2015 6:05:38	Ailing Loran Root	None	8ig6uznt	Uncanny Tonitrus	None / Unsure	Lost Hunter Axe	None / Unsure					1 boss Beast Possesed Soul 2 boss Loran Silver Beast 3 boss Abhorrent Beast		
4/13/2015 21:56:51	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	pmiqq34b	None / Unsure	None / Unsure	None / Unsure	None / Unsure		Red Jelly	Sage's Hair		Layer 1 has Top Tier Communion Rune (Max Vials +5)  Layer 3 has Top Tier Formless Oedon Rune (Max QS Bullets +5)		
4/14/2015 7:03:58	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	69zmjfm2	None / Unsure	Lost Logarius' Wheel	None / Unsure	None / Unsure					- Layer 1 (Bloodletting Beast): Lake Rune [Increases defense. Physical DMG reduction (+7%)] and Heir Rune [More Blood Echoes gained from visceral attacks (+60%)]  - Layer 2 (Beast-possessed Soul):  - Layer 3 (Headless Bloodletting Beast): Great One's Wisdom (Could be a Blood Rock or a rune I already had)		
4/14/2015 7:16:58	Lower Ailing Loran Root	Fetid Offering, Rotted Offering, Curse	6q77zr9h	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Layer 1 (Blood-starved Beast): Clawmark Rune [Strengthens visceral attacks (+30%)]  Layer 2 (Loran Silverbeast): Farmable Hunter (Beast Claw) infront of boss door, commonly drops rank 17 and 18 waning blood gems (I had all three Eye Runes equipped.).  Layer 3 (Abhorrent Beast): Stunning Deep Sea Rune [Increases rapid poison resistance +300]		
4/14/2015 8:09:38	Isz Root	Fetid Offering, Rotted Offering, Curse	9np7c7wk	Lost Threaded Cane	None / Unsure	Lost Kirkhammer	None / Unsure					Brainsucker, Merciless Watchers, Ebrietas, Amygdala		
4/14/2015 11:40:22	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	2t4i6qtv	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Chalice dungeon for farming radial cursed gem.  From first lamp go to the dark room, straight up via ladder(careful, 2 enemies are above you, then to the wooden door in the between ledges. By now, you should see the fetid mob you want to farm - he is poisoned, his health bar can be seen through the wall. This guy is both fetid and easily killable and drops 18 lvl cursed gems(maybe 19, yet have to find out).		
4/14/2015 15:57:27	Pthumeru Root	None	d2yxkwhv	None / Unsure	Uncanny Saw Cleaver	None / Unsure	None / Unsure					bosses are pig, 3 guys, lord watchdogs. Final boss dropped a fire atk +6.3% radial shard.		
4/14/2015 21:16:31	Lower Pthumeru Root	Fetid Offering, Rotted Offering	gd6k45wu	Lost Saw Spear	Uncanny Kirkhammer	Uncanny Riflespear	Lost Threaded Cane							
4/15/2015 0:48:04	Ailing Loran Root	None	h7595mvm	Uncanny Tonitrus	Uncanny Beast Claw	Lost Hunter Axe	None / Unsure					Fading Lake Rune (Fire dmg 7%) in Layer 2. Also there is a loot field in Layer 3 guarded by 2 cannon/axe wielding giants		
4/15/2015 1:38:02	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering	5wu2zv5n	None / Unsure	Lost Chikage	Lost Burial Blade	None / Unsure	Yellow Backbone	Sage's Hair	Yellow Backbone		This is a correction to an already submitted dungeon that I am running; the lost Chikage was on layer 2, rather than layer 1. 		
4/15/2015 17:35:47	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering	k2vmdrct	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Bloodshot Eyeball				24.3% Bloodtinge Droplet in the pre dungeon before Layer 2. First boss is Ashen Lord. Layer 2 and beyond have not been completed, venture at your own risk.		
4/15/2015 19:41:33	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering	rra4n2eq	Lost Reiterpallasch	None / Unsure	Lost Logarius' Wheel	None / Unsure					1st layer found a communion rune for +5 vials. 2nd layer found the ring of betrothal		
4/15/2015 22:22:38	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering	4gsfgdnr	None / Unsure	Lost Chikage	None / Unsure	None / Unsure					Lost Chickage is between the layer 1 boss (Three Watchers) and the next lamp.  After boss 2 (Keeper of the Old Lords) there's a Bloodtinge +26% gem in the treasure room.  Third treasure room before Third boss has Tomb Mold 5.		
4/16/2015 10:50:12	Hintertomb Root	Fetid Offering	u42p96tx	None / Unsure	None / Unsure	Uncanny Hunter Axe	None / Unsure	Blood Stone Chunk				I put the chalice three times now and I've only get the blood chunk the first time, the other times it was a Madman's Knowledge. Is it because of a percentage drop or is it because the chunk just appear one time? Thanks		
4/17/2015 3:42:34	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering	byquy9nf	Lost Logarius' Wheel	None / Unsure	None / Unsure	None / Unsure			Sage's Hair	Blood Rock	level 1, first sub area -  Lake Rune - 7% phys. damage reduction level 1, boss sub area - Lost Logarius Wheel  nothing on level 2 that I could find  level 3, first sub area - Oedon Writhe - +3 QS bullets on visceral attack 7 Sage's hair  level 4 has a Blood Rock, 8x Tomb Mold (5) and 12x Ritual Blood (5)		
4/17/2015 3:54:42	Sinister Isz Root	None	r82j5jrn	Lost Kirkhammer	None / Unsure	None / Unsure	None / Unsure	Pearl Slug, Sage's Hair	Pearl Slug, Sage's Hair	Pearl Slug		Layer 2 has frenzy 300 resist rune. Layer 3 has arcane damage reduction 7% rune.		
4/17/2015 6:46:12	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	v9xwvc7f	Lost Chikage	Lost Burial Blade	None / Unsure	None / Unsure		Red Jelly, Yellow Backbone			Treasure room containing Burial Blade has 3 Red Jellies and 5 Ritual Blood(5)'s. The area before the burial blade you can find 3 Great One Coldbloods.  Layer 1 boss is the three fatties, Layer 2 boss is Keeper of the Old Lords.  Whatever is in layer 3, I forget, but I recall getting lots of Ritual Blood (5) from that whole layer.		
4/17/2015 6:50:21	Isz Root	Fetid Offering, Rotted Offering, Curse	g6hm8zde	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Blood Rock				I forget what is in this entire dungeon, but the only real thing of note is quite possibly the easiest Blood Rock I've come across. In a side area before the boss door, guarded by a lone Brainsucker.  Amygdala on the final layer seems to be dropping high level Triangle Nourishing gems at a great rate too.		
4/17/2015 15:22:37	Cursed and Defiled Root	Fetid Offering, Rotted Offering	brkepzqq	Uncanny Ludwig's Holy Blade	None / Unsure	Uncanny Reiterpallasch	None / Unsure					level 3 contains 4 flame throwing witches at the start making it a killbox so be careful		
4/17/2015 15:30:03	Cursed and Defiled Root	Fetid Offering, Rotted Offering	brkepzqq	Uncanny Ludwig's Holy Blade	None / Unsure	Uncanny Reiterpallasch	None / Unsure					on layer 4 theres 4 fire witches at the start in a circular room making it a killbox.  on layer 4 theres a lake rune 5% tier 2		
4/17/2015 16:50:05	Lower Pthumeru Root	Sinister Bell	z32f65ah	Lost Saw Cleaver	None / Unsure	Lost Saw Spear	None / Unsure					Didn't write down the materials, but there was a Great One Coldblood in the treasure room of Layer 2.  Bosses are as follows:  Watchers, Beast Possessed Soul, Bloodletting Beast (Normal version).		
4/17/2015 20:06:59	Sinister Lower Loran Root	Sinister Bell	2y3kebxd	None / Unsure	Uncanny Tonitrus	None / Unsure	None / Unsure					Anti-Clockwise Metamorphosis +20% stamina on second layer side room		
4/18/2015 0:20:38	Lower Ailing Loran Root	Fetid Offering, Rotted Offering	ees8m5u4	None / Unsure	Uncanny Blade of Mercy	Lost Tonitrus	None / Unsure	Blood Rock						
4/18/2015 12:40:59	Ailing Loran Root	Fetid Offering, Rotted Offering	v5xiw428	Uncanny Beast Claw	Uncanny Tonitrus	None / Unsure	None / Unsure	Blooming Coldblood Flower	Blooming Coldblood Flower	Blooming Coldblood Flower		First optional dungeon is a bitch, has a witch and a wolf in a relatively closed in error without a quick escape path.   Bosses so far, beast posessed soul, watched of the old lord		
4/18/2015 15:32:42	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	qukyzqiz	None / Unsure	Lost Reiterpallasch	None / Unsure	Uncanny Burial Blade	Blooming Coldblood Flower	Bloodshot Eyeball	Pearl Slug, Red Jelly	Red Jelly, Sage's Hair			
4/18/2015 15:38:54	Isz Root	Fetid Offering, Rotted Offering	kamejwyd	None / Unsure	Lost Kirkhammer	Lost Ludwig's Holy Blade	None / Unsure		Pearl Slug	Pearl Slug, Red Jelly, Yellow Backbone, Bastard of Loran, Blood Rock		Layer 1 Sub area pre dungeon contains an Eye Rune. 3 Watchers Boss.  Layer 2 Sub Area Pre Boss has the Lost Kirkhammer.  Brain Sucker Boss.  Layer 3 Sub area pre dungeon contains Lost Ludwigs.  Dungeon itself has the bloodrock.  		
4/19/2015 0:40:02	Lower Ailing Loran Root	Fetid Offering, Rotted Offering, Curse	mdisnk76	None / Unsure	Lost Stake Driver	Lost Tonitrus	None / Unsure							
4/19/2015 1:26:09	Isz Root	Fetid Offering, Rotted Offering	8287jfwq	None / Unsure	Lost Ludwig's Holy Blade	Lost Kirkhammer	None / Unsure							
4/19/2015 4:10:01	Cursed and Defiled Root	None	3x8kjrh9	None / Unsure	None / Unsure	Uncanny Logarius' Wheel	None / Unsure					Uncanny Wheel was in the bonus area just before the 3rd Layer boss door. It was in a coffin. 		
4/19/2015 15:46:32	Pthumeru Ihyll Root	None	jrwffkyp	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Blood Rock				found blood rock first side area layer 1		
4/19/2015 17:39:13	Ailing Loran Root	Fetid Offering, Rotted Offering	zp7v3rse	None / Unsure	Uncanny Tonitrus	Lost Riflespear	None / Unsure					Dissipating Lake Rune level 2 (+7% bolt damage reduction) on layer 1.		
4/20/2015 10:34:37	Lower Hintertomb Root	Fetid Offering	9p4i7it9	None / Unsure	None / Unsure	Uncanny Stake Driver	None / Unsure					Stunning Deep Sea Rune (+100 rapid poison resistance) found in layer 2, 1st bonus area.  The Uncanny Stake Driver is found in layer 3, 1st bonus area.  This is submitted by /u/MingySpaff.		
4/20/2015 16:46:34	Lower Ailing Loran Root	None	74ucvg9c	Uncanny Reiterpallasch	None / Unsure	None / Unsure	None / Unsure	Arcane Haze	Coldblood Flower Bulb	Red Jelly				
4/23/2015 5:00:39	Lower Ailing Loran Root	Rotted Offering	hfwyuunn	Lost Beast Claw	Lost Tonitrus	Lost Stake Driver	None / Unsure			Red Jelly		Bosses are Abhorrent Beast, Beast Possessed Soul and Amygdala		
4/23/2015 5:26:17	Ailing Loran Root	None	2336ttcm	Lost Riflespear, Uncanny Beast Claw	Lost Hunter Axe	Uncanny Tonitrus	None / Unsure			Bastard of Loran		4 weapons, giant bell, bastards of loran		
4/23/2015 21:48:56	Ailing Loran Root	None	akdrub4p	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Early Lost Rifle Spear, Uncanny Tonitrus later on. All easy bosses.		
4/23/2015 22:07:37	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	k2qdvq7v	None / Unsure	None / Unsure	None / Unsure	None / Unsure					L1 quick 3 watcher access good physical gem (radial). L2 hunters with good triangle gems, Formless Oedon, boss beast possessed. L3 Lake, jump under after entry to big room.		
4/23/2015 23:55:36	Isz Root	Fetid Offering, Rotted Offering, Curse	7fwgga2i	None / Unsure	Lost Ludwig's Holy Blade	None / Unsure	None / Unsure		Pearl Slug	Pearl Slug, Red Jelly		layer 1 Great Lake 5% and Eye +100 layer 3 Deep Sea +300  bosses maneater boar, brainsucker, pthumerian elder		
4/24/2015 5:46:16	Cursed and Defiled Root	None	cit33pzf	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Help with Amy spidere		
4/24/2015 10:54:00	Sinister Isz Root	Sinister Bell	8uv4ibay	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Blood Rock				Great Lake Rune in Layer 2 Layer 1 Boss is Brain Sucker Layer 2 Boss is Watchers 		
4/24/2015 12:50:53	Pthumeru Ihyll Root	Fetid Offering	6qcc6raq	None / Unsure	None / Unsure	None / Unsure	Lost Reiterpallasch					Layer 1 - 15% clockwise metamorph  Layer 2 - Heir rune, tier 3		
4/24/2015 18:22:42	Isz Root	Fetid Offering, Rotted Offering, Curse	rumjp4vc	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Blood Rock	Pearl Slug, Sage's Hair	Pearl Slug, Red Jelly, Yellow Backbone, Sage's Hair		--Layer 1: Blood rock in door before lamp              1 S.Spear hunter, 1 Wheel hunter             -Boss: Keeper of the Old Lords; gave Cursed Sharp Damp triangle gem (6) (17 rating, +SKL scaling) --Layer 2: Deep Sea (+300 frenzy res) in MAIN dungeon area              2 sage's hair, 3 pearl slug, 2 ritual blood (5), 2 tomb mold (5)              2 Chikage hunters             -Boss: Brainsucker; gave Cursed Tempering Damp triangle gem (6) (18 rating, +% Phys Atk) --Layer 3: Great Deep Sea (+150 all res) in door before lamp              1 red jelly, 4 yellow backbone, 6 sage's hair, 10 pearl slug, 6 ritual blood (5), 28 tomb mold (5)  (wow)              4 S.Spear hunters (wow)             -Boss: Celestial Emissary; gave cursed arcane abyssal triangle gem (20 rating, +% Arcane Atk)		
4/24/2015 18:19:14	Isz Root	Fetid Offering, Rotted Offering, Curse	fnh9c2ui	None / Unsure	None / Unsure	Lost Threaded Cane	None / Unsure					brother found a lost threaded cane and an eye rune in this dungeon. not sure about the specific layer so my apologies. 		
4/24/2015 21:53:06	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering	as5k238p	Lost Blade of Mercy	Lost Chikage	Lost Reiterpallasch	None / Unsure					4 or 5 Great One Coldbloods in Layer 3		
4/25/2015 16:03:26	Isz Root	None	cg2yf5yf	None / Unsure	None / Unsure	None / Unsure	None / Unsure					The first layer before you start the dungeon, in the bonus loot area to the left, at the very end is the +100 Eye Caryll Rune. It's in a loot room after a bridge with 4 tricky swinging axes.		
4/26/2015 0:18:17	Sinister Pthumeru Ihyll Root	Sinister Bell	zbcde5pw	Lost Blade of Mercy	None / Unsure	Lost Logarius' Wheel	None / Unsure					Blade of Mercy is in First PRE-Area  Logarius Wheel is in Third PRE-Area  Damp bloodtinge gem (6) Rank 19 26.1% Bloodatk on second layer pre-area  Rank 3 Heir Rune Layer 3 main area		
4/26/2015 15:27:44	Lower Ailing Loran Root	Fetid Offering, Rotted Offering	ftrrp55p	Lost Beast Claw	None / Unsure	None / Unsure	None / Unsure					Rank 3 Clawmark rune on Layer 3		
4/27/2015 2:47:39	Pthumeru Root	None	csn3g5ja	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Pearl Slug	Bloodshot Eyeball	Pearl Slug	Pearl Slug			
4/27/2015 6:21:10	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	4ep9jumw	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Layer 1: Beast Possessed Soul. Layer 2: Keeper of The Lords. Layer 3: Blood-letting Beast (no-head version). Layer 3: Pthumerian Elder. Lots of purple haze mobs dropping murky/dirty gems in this 4 layer dungeon. There are a variety of challenging rooms and plenty of NPC hunters to keep things interesting. At this point I have all weapons and runes so I am not sure what is in sarcophagi. 		
4/28/2015 0:02:27	Lower Ailing Loran Root	Fetid Offering, Rotted Offering, Curse	bf589ptf	Uncanny Burial Blade, Lost Stake Driver	None / Unsure	None / Unsure	None / Unsure	Bastard of Loran	Bastard of Loran	Red Jelly		Uncanny Burial Blade is in the treasure room immediately as you enter the dungeon, before the second lamp.  The Lost Stake Driver is in the treasure room before the first boss.  You do not have to fight any bosses to obtain either of these.  I got a Great One's Wisdom from the second or third floor treasure room, so that may be another Lost/Uncanny weapon or a Caryll Rune that I already had.		
4/29/2015 1:15:29	Isz Root	None	wxppjy72	None / Unsure	None / Unsure	None / Unsure	None / Unsure							
4/29/2015 1:57:49	Sinister Isz Root	None	dyjz3xux	Lost Threaded Cane, Lost Kirkhammer	None / Unsure	None / Unsure	None / Unsure					Eye rune (level 3) on layer 2		
4/29/2015 9:25:01	Isz Root	None	gragwrhr	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Arcane Haze	Arcane Haze	Arcane Haze	Arcane Haze	just bullshitted to get past the form.  Please don't waste any time.		
4/30/2015 14:46:11	Pthumeru Root	None	6tsghxdg	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Arcane Haze	Arcane Haze	Arcane Haze	Arcane Haze			
4/30/2015 21:56:14	Pthumeru Ihyll Root	None	2kthkms2	None / Unsure	None / Unsure	Lost Logarius' Wheel	None / Unsure	Red Jelly, Inflicted Organ	Red Jelly, Inflicted Organ, Sage's Hair	Yellow Backbone, Sage's Hair, Blood Rock		Multiple great one cold bloods and wisdoms		
5/2/2015 10:02:41	Central Pethumeru Root	None	988sex69	None / Unsure	None / Unsure	None / Unsure	None / Unsure							
5/3/2015 9:01:59	Central Pethumeru Root	None	5us2i2y7	None / Unsure	Uncanny Threaded Cane	None / Unsure	None / Unsure							
5/4/2015 5:29:07	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering	wc3x5v4n	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Layer 1 optional area: rune Clockwise Metamorphosis (Boost max HP+15%) Layer 2 optional area: blood gem Dump Bloodtinge Gem (Blood ATK UP+24.3%) Layer 3 optional area: rune Communion (Max vials held up+5)		
5/5/2015 3:19:46	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	cecqx8mf	Lost Reiterpallasch	None / Unsure	Lost Reiterpallasch	None / Unsure							
5/5/2015 21:14:49	Lower Ailing Loran Root	Fetid Offering, Rotted Offering	5aa9qchy	Lost Beast Claw	None / Unsure	None / Unsure	None / Unsure					Layer 2 : Stunning Deep Sea rune		
5/8/2015 15:52:15	Sinister Pthumeru Ihyll Root	Sinister Bell	ja3i6y6u	None / Unsure	Lost Logarius' Wheel	Lost Chikage	None / Unsure		Yellow Backbone	Yellow Backbone		Rune Formless Odeon (Max. QS+5) There are 3 illusory walls: first in layer 1 right side of the cannon; second in layer 2 after you jump down in the big room with a chest, in the left side; third is in the layer 3 after the second lamp, on the right side, just opposite of the corridor on the left, and before the boss 3 blue door that must be unlocked. The arena for the third boss it have a big hole in the middle. 		
5/8/2015 18:15:11	Ailing Loran Root	None	w9e89zuu	Beast Claw	None / Unsure	None / Unsure	None / Unsure							
5/9/2015 2:15:21	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	bcbgev59	Lost Reiterpallasch	None / Unsure	Lost Logarius' Wheel	None / Unsure					Final Formless Oedon rune in layer 2, i cant remember the exact materials i found but it surely was a lot of tomb mould(5). Have fun!		
5/9/2015 6:00:25	Central Pethumeru Root	Fetid Offering	jkjvp9da	Uncanny Threaded Cane	Uncanny Saw Spear	None / Unsure	None / Unsure		Arcane Haze	Sage's Wrist		One treasure chest containing 2 Sage wrist One enemy drops Arcane Haze		
5/10/2015 6:43:28	Pthumeru Ihyll Root	Fetid Offering	y8tqin2h	None / Unsure	Lost Logarius' Wheel	Lost Burial Blade, Lost Reiterpallasch	None / Unsure		Yellow Backbone	Yellow Backbone		I don't remember all the materials but there were a few. There are also only 3 layers.		
5/10/2015 18:39:46	Pthumeru Root	None	dontknow	Uncanny Threaded Cane	Lost Saw Cleaver	Lost Hunter Axe	Lost Saw Cleaver	Living String	Inflicted Organ	Pearl Slug	Blood Rock			
5/11/2015 9:59:27	Isz Root	Fetid Offering, Rotted Offering, Curse	454zdmpc	Lost Threaded Cane	None / Unsure	None / Unsure	None / Unsure	Bloodshot Eyeball, Pearl Slug	Pearl Slug	Pearl Slug, Sage's Hair, Bastard of Loran, Blood Rock		Two runes, fake wall on third layer. 		
5/11/2015 16:36:08	Sinister Isz Root	Sinister Bell	depgdkcp	None / Unsure	None / Unsure	Lost Threaded Cane	None / Unsure		Pearl Slug, Yellow Backbone, Bastard of Loran	Pearl Slug, Red Jelly, Sage's Hair		Sage's Hair x6 in the room with Lost Treaded Cane (in optional area Layer 3) Great Lake (5% all dmg reduction) (Layer 1) Arcane Lake (10% Arcane DMG reduction) (Layer 2) Illusory wall under the bridge in Layer 2 Illusory wall in Layer 1 optional area 		
5/11/2015 16:51:35	Sinister Lower Loran Root	Sinister Bell	4yj72gjz	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Lost Beast Claw (I think Layer 1) Lost Stake Driver (I think Layer 2) There is a Bath Messenger in Layer 1		
5/11/2015 16:55:05	Lower Ailing Loran Root	Fetid Offering, Rotted Offering, Curse	cdwkecyw	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Rune Beast (Transform +100) in Layer 2		
5/12/2015 21:49:40	Cursed and Defiled Root	Fetid Offering, Rotted Offering, Curse	r5i2ztdr	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Just started it fresh and looking for others to explore with		
5/15/2015 9:43:17	Lower Pthumeru Root	Fetid Offering, Rotted Offering	kx5rr6t6	Uncanny Kirkhammer	None / Unsure	None / Unsure	None / Unsure			Sage's Wrist				
5/15/2015 23:16:02	Isz Root	Fetid Offering, Rotted Offering, Curse	jfd25qbz	Lost Ludwig's Holy Blade	Lost Threaded Cane	None / Unsure	None / Unsure					Layer 1 before lamp- Lost Holy Blade Layer 1 Boss- 3 watcher Layer 2 Before lamp- Lost Cane Layer 2 brain sucker @ switch- Cursed arcane gem (arcane 9.1% and 67.5) Layer 2 Boss- club giant Layer 3 Boss- Emissary, Cursed Abyssal Arcane Gem		
5/17/2015 11:13:32	Lower Ailing Loran Root	None	c578hke2	None / Unsure	None / Unsure	None / Unsure	None / Unsure			Blood Rock		1st Level: Blood Starved Beast 2nd Level: Keeper of the Old Gods 3rd Level: Darkbeast Loran  Bloodrock is in a coffin in Level 3 post-area, before the boss		
5/17/2015 12:31:20	Central Pethumeru Root	Fetid Offering	yr3s7sgd	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Arcane Haze						
5/19/2015 22:19:17	Lower Pthumeru Root	None	wg4qc28d	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Arcane Haze, Sage's Wrist	Arcane Haze, Sage's Wrist	Arcane Haze, Sage's Wrist		I need help with Rom, the layer 2 boss		
5/20/2015 18:22:41	Lower Hintertomb Root	Fetid Offering, Rotted Offering	89jdbmhu	None / Unsure	Uncanny Stake Driver	None / Unsure	None / Unsure					Also found a Great One Coldblood and the Great Lake 3% Caryll Rune...think was layer 2 and 3. Have fun :)		
5/20/2015 23:14:30	Pthumeru Ihyll Root	None	y63p48t5	Lost Blade of Mercy	None / Unsure	None / Unsure	None / Unsure					Ring of Betrothal on layer 1, before the first boss.		
5/21/2015 3:18:00	Lower Ailing Loran Root	Fetid Offering, Rotted Offering	epm7nzrq	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Clawmark 3 (+30%) and Stunning Deep Sea 3 (+300 rapid poison res.) runes after first entering and 2nd boss (pre-main area) bonus sections, respectively. 		